Purchase_date,Customer_ID,Title,Item_Price,Total_Amount,Quantity,Category,Book_Age,Author,google_rating,google_ratings_count,google_page_count,google_categories,google_description
2019-07-07T16:21:10+00:00,B07FWWUQQ,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,384.0,451.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T16:21:10+00:00,B07FWWUQQ,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,384.0,451.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T16:28:11+00:00,B07FWVYZU,Social and Political Life Part - 1 Textbook in Social Science for Class - 6  - 658,129.0,196.0,1,school,10,by NCERT (Author),0.0,0,0,Unknown,
2019-07-07T16:28:11+00:00,B07FWVYZU,Social and Political Life Part - 1 Textbook in Social Science for Class - 6  - 658,129.0,196.0,1,school,10,by NCERT (Author),0.0,0,0,Unknown,
2019-07-07T17:37:45+00:00,B07FWVUTR,Maths Practice-cum-workbook Class 5,150.0,217.0,1,school,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T18:24:31+00:00,B07FWXBYR,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-07T18:24:31+00:00,B07FWXBYR,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T00:54:06+00:00,B07FWVXYW,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,384.0,451.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T00:54:06+00:00,B07FWVXYW,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,384.0,451.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
2019-07-08T04:44:09+00:00,B07FWWZSR,Chemistry Textbook Part - 2 for Class - 12 with Free Car Anti Slip Mat,192.0,259.0,1,School,5,Unknown Author,0.0,0,0,Unknown,
